gene,chrom,start,end,strand,promoter_start,promoter_end,s2s_signal,s3_signal,ratio,state,cell_type,chromosome
Gfod2,chr8,105713854,105758664,-,105758664,105768664,5.604281337058544,5.605419134732087,1.0002030229399832,Mixed,NSC,chr8
Cenpt,chr8,105844673,105853278,-,105853278,105863278,8.882563311672211,6.781541314729055,0.7634667017591319,Mixed,NSC,chr8
Thap11,chr8,105855132,105856950,+,105845132,105855132,9.61761634824276,7.053412234886487,0.7333846536907475,Mixed,NSC,chr8
Nutf2,chr8,105860580,105879330,+,105850580,105860580,8.895188704371453,6.778425157487392,0.7620327553204354,Mixed,NSC,chr8
Edc4,chr8,105880881,105894908,+,105870881,105880881,7.195229109382629,6.179260764660438,0.8587997228055795,Mixed,NSC,chr8
Pskh1,chr8,105900441,105931778,+,105890441,105900441,8.896581711351873,6.949378065001965,0.7811290100482849,Mixed,NSC,chr8
Slc12a4,chr8,105943590,105966097,-,105966097,105976097,7.511075839722157,5.651420081410805,0.7524115322499336,Mixed,NSC,chr8
Dus2,chr8,105991337,106053840,+,105981337,105991337,6.444617671751976,6.050661086523533,0.9388704489088264,Mixed,NSC,chr8
Nfatc3,chr8,106058840,106130537,+,106048840,106058840,7.595711831033229,6.639422512749831,0.8741014220186238,Mixed,NSC,chr8
1810019D21Rik,chr8,106135400,106138525,+,106125400,106135400,7.666596356749535,6.313168926139672,0.8234643683284134,Mixed,NSC,chr8
Pla2g15,chr8,106150399,106164715,+,106140399,106150399,7.440647299206256,5.475946055110295,0.7359502251496924,Mixed,NSC,chr8
Slc7a6,chr8,106168857,106198706,+,106158857,106168857,8.47044992377162,6.649545965727171,0.7850286614723697,Mixed,NSC,chr8
Prmt7,chr8,106210936,106252794,+,106200936,106210936,6.355479118323327,5.039287160801887,0.7929043691250973,Mixed,NSC,chr8
Smpd3,chr8,106252548,106337988,-,106337988,106347988,5.441200283300876,5.401916595121225,0.9927803267414704,Mixed,NSC,chr8
Zfp90,chr8,106415327,106426598,+,106405327,106415327,7.331927032661438,6.128174746783575,0.835820476592917,Mixed,NSC,chr8
Cdh3,chr8,106510891,106557297,+,106500891,106510891,6.2173390452265735,5.266859375445048,0.847124362550042,Mixed,NSC,chr8
Cdh1,chr8,106603351,106670246,+,106593351,106603351,6.446662414121628,4.868982397204637,0.7552718111218248,Mixed,NSC,chr8
Tango6,chr8,106683068,106851439,+,106673068,106683068,2.402508038520813,2.443647366360824,1.0171234922757384,Mixed,NSC,chr8
Has3,chr8,106870242,106884566,+,106860242,106870242,7.886540217030048,5.815267488078277,0.7373661108734216,Mixed,NSC,chr8
Sntb2,chr8,106935750,107019714,+,106925750,106935750,5.5374002702832215,5.848668982247511,1.056212066451965,Mixed,NSC,chr8
Vps4a,chr8,107031222,107045755,+,107021222,107031222,7.235568486654759,6.146549992366633,0.8494909561982993,Mixed,NSC,chr8
Pdf,chr8,107044698,107048614,-,107048614,107058614,8.874809661519526,6.317706402750811,0.7118695097365172,Mixed,NSC,chr8
Nip7,chr8,107056877,107060931,+,107046877,107056877,8.102351345825195,6.214690137823422,0.7670230372107467,Mixed,NSC,chr8
Mir7075,chr8,107096025,107096106,-,107096106,107106106,6.541276901638508,6.157759156318505,0.9413695902058608,Mixed,NSC,chr8
Cyb5b,chr8,107150640,107187471,+,107140640,107150640,6.973129314720631,7.0175673932830485,1.006372759855264,Mixed,NSC,chr8
Nfat5,chr8,107293470,107379517,+,107283470,107293470,5.035142800211906,5.833662357827028,1.1585892574052747,Mixed,NSC,chr8
Nob1,chr8,107412486,107425051,-,107425051,107435051,6.345994967913628,5.937024668471018,0.9355545818251624,Mixed,NSC,chr8
Wwp2,chr8,107436365,107558595,+,107426365,107436365,6.752621131062508,6.185270726382733,0.9159807142044551,Mixed,NSC,chr8
Psmd7,chr8,107580381,107588464,-,107588464,107598464,5.31045874311924,5.300556928078334,0.9981354124907316,Mixed,NSC,chr8
Zfhx3,chr8,107942644,108961630,+,107932644,107942644,4.108659503138066,4.188488228531679,1.0194293845310476,Mixed,NSC,chr8
Gm1943,chr8,109340691,109340864,-,109340864,109350864,4.71595569421053,5.281028747959932,1.1198215357373067,Mixed,NSC,chr8
Txnl4b,chr8,109565892,109574051,+,109555892,109565892,7.60612572222948,6.01389619988203,0.7906648429838546,Mixed,NSC,chr8
Dhodh,chr8,109591343,109608673,-,109608673,109618673,4.962643501508236,5.216098279794057,1.0510725338640166,Mixed,NSC,chr8
Ist1,chr8,109671325,109693260,-,109693260,109703260,6.362055981099606,5.755948513587316,0.9047308811313648,Mixed,NSC,chr8
Zfp821,chr8,109705546,109724932,+,109695546,109705546,6.49506881351471,6.171169455520311,0.9501314970950824,Mixed,NSC,chr8
Atxn1l,chr8,109726451,109737739,-,109737739,109747739,1.6825002248883247,1.4506841045538583,0.8622192633882989,Mixed,NSC,chr8
Ap1g1,chr8,109778554,109864204,+,109768554,109778554,4.741077199327946,5.045643691945076,1.0642399353168732,Mixed,NSC,chr8
Phlpp2,chr8,109868542,109944671,+,109858542,109868542,4.254761110258102,4.620171868757407,1.0858827908383175,Mixed,NSC,chr8
Marveld3,chr8,109947914,109962203,-,109962203,109972203,5.743223118865489,4.990094840188821,0.8688666166907615,Mixed,NSC,chr8
Calb2,chr8,110137502,110168210,-,110168210,110178210,7.975097331047057,5.46516372170051,0.6852786235504142,Mixed,NSC,chr8
Cmtr2,chr8,110215665,110224486,+,110205665,110215665,5.85996894812584,5.14586546822389,0.8781386921631492,Mixed,NSC,chr8
Vac14,chr8,110618585,110720398,+,110608585,110618585,6.005839694380761,5.101520871599515,0.849426746500185,Mixed,NSC,chr8
Mtss2,chr8,110721476,110741400,+,110711476,110721476,10.410395922088624,6.894484509090582,0.6622691932841831,Mixed,NSC,chr8
Sf3b3,chr8,110810239,110846787,-,110846787,110856787,5.386698155677319,5.388110949067275,1.0002622744674243,Mixed,NSC,chr8
Cog4,chr8,110846600,110882227,+,110836600,110846600,3.978948942959308,5.575106505215167,1.4011505513485505,Mixed,NSC,chr8
Fcsk,chr8,110882456,110902488,-,110902488,110912488,7.817684156239033,6.142917908294996,0.7857720759149036,Mixed,NSC,chr8
St3gal2,chr8,110919922,110972480,+,110909922,110919922,7.21579764457941,5.870114229885737,0.8135087095042686,Mixed,NSC,chr8
Ddx19a,chr8,110974996,110997800,-,110997800,111007800,5.703370606720448,5.802890617529552,1.0174493326265412,Mixed,NSC,chr8
Ddx19b,chr8,111003188,111031751,-,111031751,111041751,6.490277412414551,5.843348347290356,0.9003233569204986,Mixed,NSC,chr8
Exosc6,chr8,111056339,111057664,+,111046339,111056339,9.596137225806713,6.479582411650816,0.6752281943431776,Mixed,NSC,chr8
Pdpr,chr8,111094630,111137074,+,111084630,111094630,6.141040920555591,5.288870126446088,0.8612334936155407,Mixed,NSC,chr8
9430091E24Rik,chr8,111128886,111145480,-,111145480,111155480,7.76877223700285,5.776213688572248,0.743516930649608,Mixed,NSC,chr8
Glg1,chr8,111154421,111259216,-,111259216,111269216,6.219201454114914,5.69552844076554,0.9157973869775696,Mixed,NSC,chr8
Rfwd3,chr8,111270944,111300222,-,111300222,111310222,5.6343887865424165,5.14951684961319,0.9139441818272588,Mixed,NSC,chr8
Fa2h,chr8,111345135,111393824,-,111393824,111403824,6.681861678707599,5.082172903148333,0.7605923539757147,Mixed,NSC,chr8
Znrf1,chr8,111536097,111626030,+,111526097,111536097,5.40731188327074,5.112348622639973,0.9454510361158692,Mixed,NSC,chr8
Zfp1,chr8,111643401,111671011,+,111633401,111643401,6.458075624072551,5.6995378955463565,0.8825443099955758,Mixed,NSC,chr8
Bcar1,chr8,111710474,111743809,-,111743809,111753809,6.629165758550167,6.3226924398899085,0.953768946226005,Mixed,NSC,chr8
Cfdp1,chr8,111768491,111854291,-,111854291,111864291,5.139459291231632,4.874224153657755,0.9483924042308514,Mixed,NSC,chr8
Tmem170,chr8,111863038,111876750,-,111876750,111886750,6.674509215235711,5.115017390429974,0.7663510867217128,Mixed,NSC,chr8
Chst5,chr8,111889136,111910447,-,111910447,111920447,6.93110864174366,6.310128540593386,0.9104068146601646,Mixed,NSC,chr8
Tmem231,chr8,111912011,111933881,-,111933881,111943881,6.718666569876671,6.276454266093175,0.9341815374845112,Mixed,NSC,chr8
Gabarapl2,chr8,111940703,111953612,+,111930703,111940703,7.084045113271476,6.656396292779843,0.9396321150340416,Mixed,NSC,chr8
Adat1,chr8,111966908,111992302,-,111992302,112002302,7.085441425788403,6.454162601606051,0.9109047995394148,Mixed,NSC,chr8
Terf2ip,chr8,112011398,112020528,+,112001398,112011398,6.2289506534934045,5.521545000406107,0.8864326124191463,Mixed,NSC,chr8
Mon1b,chr8,113635587,113645179,+,113625587,113635587,4.171609342455864,4.388928373765945,1.0520947704998052,Mixed,NSC,chr8
Wwox,chr8,114439655,115352708,+,114429655,114439655,5.155788369476795,4.504177655200163,0.8736156980115231,Mixed,NSC,chr8
Maf,chr8,115682942,115707794,-,115707794,115717794,6.369020645058155,5.411667688274385,0.8496860019559523,Mixed,NSC,chr8
Cdyl2,chr8,116574400,116732991,-,116732991,116742991,4.836562699234486,5.364709028458595,1.1091986937970848,Mixed,NSC,chr8
Cmc2,chr8,116888685,116921455,-,116921455,116931455,6.221881943702698,5.7010001266102,0.9162822725012176,Mixed,NSC,chr8
1700030J22Rik,chr8,116969594,116978959,-,116978959,116988959,6.1564954931020734,5.634790402144193,0.9152594050393744,Mixed,NSC,chr8
Gcsh,chr8,116981810,116993537,-,116993537,117003537,6.800558327543735,5.30998542022705,0.7808160983959888,Mixed,NSC,chr8
Gan,chr8,117158135,117215997,+,117148135,117158135,7.325130752503872,5.924813643773398,0.8088338411909141,Mixed,NSC,chr8
Plcg2,chr8,117498291,117635142,+,117488291,117498291,5.759816428184509,4.838436812492212,0.8400331630043433,Mixed,NSC,chr8
Mphosph6,chr8,117791645,117801943,-,117801943,117811943,4.7948508940339085,4.712348216489951,0.9827934842256276,Mixed,NSC,chr8
Cdh13,chr8,118283733,119324921,+,118273733,118283733,5.696041088068486,5.340203114151954,0.9375288962255018,Mixed,NSC,chr8
Hsbp1,chr8,119344488,119348922,+,119334488,119344488,4.9900443846941,3.984223424482346,0.798434466174911,Mixed,NSC,chr8
Mlycd,chr8,119394878,119411102,+,119384878,119394878,6.97739080042839,5.949150832192103,0.8526325961026641,Mixed,NSC,chr8
Necab2,chr8,119446719,119472640,+,119436719,119446719,10.682594397699832,7.321241933878262,0.6853430600580198,Mixed,NSC,chr8
Mbtps1,chr8,119508156,119558735,-,119558735,119568735,8.082083565980197,5.947251261214415,0.735856195084161,Mixed,NSC,chr8
Dnaaf1,chr8,119575235,119598454,+,119565235,119575235,9.448242183208466,6.80432736025254,0.720168601556941,Mixed,NSC,chr8
Taf1c,chr8,119597871,119605222,-,119605222,119615222,7.902844174039363,5.817342053329945,0.7361073969343546,Mixed,NSC,chr8
Adad2,chr8,119612747,119616924,+,119602747,119612747,7.896392828702926,5.921308073667685,0.7498750634776016,Mixed,NSC,chr8
Kcng4,chr8,119623854,119635680,-,119635680,119645680,8.812323153853416,6.706842702388762,0.7610754378039373,Mixed,NSC,chr8
Cotl1,chr8,119809222,119840544,-,119840544,119850544,8.731464202344418,6.55891659396887,0.7511817539385646,Mixed,NSC,chr8
Klhl36,chr8,119862266,119876995,+,119852266,119862266,7.098551629471779,5.985401472024122,0.8431862983392164,Mixed,NSC,chr8
Usp10,chr8,119910360,119957560,+,119900360,119910360,7.703869129121303,6.794751761078834,0.8819921064590875,Mixed,NSC,chr8
Crispld2,chr8,119992438,120052793,+,119982438,119992438,8.375580568289756,6.9750357174992565,0.8327823558771541,Mixed,NSC,chr8
Zdhhc7,chr8,120080890,120101482,-,120101482,120111482,8.547338250350952,6.634148028175036,0.7761653784910921,Mixed,NSC,chr8
6430548M08Rik,chr8,120114152,120165306,+,120104152,120114152,7.976055811262131,6.887384459475676,0.8635075559214043,Mixed,NSC,chr8
Gse1,chr8,120228456,120581390,+,120218456,120228456,7.871804248940945,6.004081404046218,0.7627325596738503,Mixed,NSC,chr8
Mir7687,chr8,120538696,120538754,+,120528696,120538696,9.803290615379812,6.863018550233046,0.7000729468803114,Mixed,NSC,chr8
Gins2,chr8,120578633,120589304,-,120589304,120599304,7.837643953847886,6.420019739953677,0.819126229484024,Mixed,NSC,chr8
1190005I06Rik,chr8,120608602,120647632,-,120647632,120657632,8.07764792611599,6.841180627040068,0.846927309733533,Mixed,NSC,chr8
Gm27021,chr8,120608786,120668079,-,120668079,120678079,7.988039825654029,6.140222380467255,0.7686769864050493,Mixed,NSC,chr8
Irf8,chr8,120736358,120756694,+,120726358,120736358,7.702488359189035,6.300880993382137,0.8180318748375924,Mixed,NSC,chr8
Foxf1,chr8,121084386,121088144,+,121074386,121084386,8.545101159238815,5.728662196346124,0.670403087054434,Mixed,NSC,chr8
Mthfsd,chr8,121091628,121108392,-,121108392,121118392,8.722482953429221,5.782652166970571,0.6629594116543543,Mixed,NSC,chr8
Foxl1,chr8,121127940,121130644,+,121117940,121127940,8.6372230347991,6.076200500428676,0.7034900541467849,Mixed,NSC,chr8
Fbxo31,chr8,121549440,121578806,-,121578806,121588806,7.247505891084671,5.906079621811707,0.8149120139490905,Mixed,NSC,chr8
Map1lc3b,chr8,121590361,121598760,+,121580361,121590361,6.82698475022316,5.827181404685974,0.8535512554785619,Mixed,NSC,chr8
Zcchc14,chr8,121598703,121652901,-,121652901,121662901,8.77590310975313,6.995439163895448,0.7971190060338111,Mixed,NSC,chr8
Jph3,chr8,121729623,121794276,+,121719623,121729623,7.7982909480452545,6.565238595155876,0.8418817198403632,Mixed,NSC,chr8
Klhdc4,chr8,121796313,121829569,-,121829569,121839569,1.9961452484488484,2.0860677896142006,1.0450480951900811,Mixed,NSC,chr8
Slc7a5,chr8,121881150,121907694,-,121907694,121917694,8.649076511597633,6.411739205960433,0.7413206713298082,Mixed,NSC,chr8
Banp,chr8,121949750,122029258,+,121939750,121949750,7.791866584062577,6.385015261530877,0.8194461741158066,Mixed,NSC,chr8
Zfpm1,chr8,122282141,122337251,+,122272141,122282141,10.3426312245965,8.21417604010105,0.7942056389447949,Mixed,NSC,chr8
Zc3h18,chr8,122376609,122417360,+,122366609,122376609,8.213957202923298,5.948400901134808,0.7241821151707252,Mixed,NSC,chr8
Cyba,chr8,122424776,122432930,-,122432930,122442930,10.748049558579922,7.070682741343975,0.6578572886928691,Mixed,NSC,chr8
Mvd,chr8,122433601,122443422,-,122443422,122453422,9.607490940642355,7.310607624737422,0.760927870752552,Mixed,NSC,chr8
Piezo1,chr8,122481698,122551329,-,122551329,122561329,8.336180564522744,6.836495386852821,0.8200992449644976,Mixed,NSC,chr8
Cdt1,chr8,122568015,122573554,+,122558015,122568015,8.192069478154183,6.701655859738588,0.8180662868655978,Mixed,NSC,chr8
Aprt,chr8,122574635,122576909,-,122576909,122586909,9.705888447928428,6.879593525107701,0.7088061605092982,Mixed,NSC,chr8
Trappc2l,chr8,122611640,122616660,+,122601640,122611640,7.868724260091782,6.154538266340892,0.7821519807925135,Mixed,NSC,chr8
Cbfa2t3,chr8,122625141,122699109,-,122699109,122709109,8.39352824319601,5.802940396602949,0.6913588932409858,Mixed,NSC,chr8
Acsf3,chr8,122775486,122817880,+,122765486,122775486,8.55215800588131,6.764863154776891,0.7910124146589319,Mixed,NSC,chr8
2810013P06Rik,chr8,123042466,123044602,+,123032466,123042466,6.275183671367168,5.5977268040100725,0.8920419062077432,Mixed,NSC,chr8
Spg7,chr8,123062942,123097760,+,123052942,123062942,8.09362222237587,6.2349345914880425,0.7703515706787939,Mixed,NSC,chr8
Rpl13,chr8,123102350,123105244,+,123092350,123102350,8.077437311649323,5.704308952212334,0.7062028131107312,Mixed,NSC,chr8
Chmp1a,chr8,123204264,123212763,-,123212763,123222763,8.236894517117738,6.1915145366688575,0.7516806878856812,Mixed,NSC,chr8
Cdk10,chr8,123224842,123232250,+,123214842,123224842,6.801948847901821,5.984850168267886,0.8798728573376462,Mixed,NSC,chr8
Spata2l,chr8,123229801,123236233,-,123236233,123246233,9.35313465988636,6.3999550261040525,0.6842577658538503,Mixed,NSC,chr8
Zfp276,chr8,123254195,123269745,+,123244195,123254195,8.441167479455471,6.5786264500617975,0.7793503050464503,Mixed,NSC,chr8
Fanca,chr8,123268300,123318576,-,123318576,123328576,5.6393465146183965,5.14812927664121,0.9128946524736784,Mixed,NSC,chr8
Spire2,chr8,123332713,123369515,+,123322713,123332713,5.438627162969112,5.1036681950410205,0.9384111177525124,Mixed,NSC,chr8
Tcf25,chr8,123373753,123403835,+,123363753,123373753,6.9368218666374695,5.918857188073794,0.8532520081768915,Mixed,NSC,chr8
Tubb3,chr8,123411424,123422015,+,123401424,123411424,9.816137496948242,7.488480916289489,0.7628744930088436,Mixed,NSC,chr8
Def8,chr8,123423527,123463270,+,123413527,123423527,8.101491321706773,6.31739385253191,0.7797815984330401,Mixed,NSC,chr8
Afg3l1,chr8,123477903,123503916,+,123467903,123477903,5.817355141103267,5.021373420977593,0.8631712005166122,Mixed,NSC,chr8
Dbndd1,chr8,123504718,123515463,-,123515463,123525463,7.83955538920164,6.671826560747623,0.8510465491368974,Mixed,NSC,chr8
Rhou,chr8,123653929,123663884,+,123643929,123653929,6.475679248785973,5.984643770186106,0.924172359418215,Mixed,NSC,chr8
Rab4a,chr8,123805985,123835287,+,123795985,123805985,6.673448622077704,5.751345411608615,0.8618250828486933,Mixed,NSC,chr8
Ccsap,chr8,123840831,123860209,-,123860209,123870209,6.548463107872009,5.654980213550727,0.8635583831499009,Mixed,NSC,chr8
Acta1,chr8,123891769,123894751,-,123894751,123904751,8.31765413043499,6.31687379029592,0.7594537704064842,Mixed,NSC,chr8
Nup133,chr8,123897123,123949265,-,123949265,123959265,7.440857642471791,6.12881168593963,0.8236700633750722,Mixed,NSC,chr8
Abcb10,chr8,123952459,123983122,-,123983122,123993122,6.127496201384068,5.422424230472246,0.8849331035484671,Mixed,NSC,chr8
Taf5l,chr8,123996318,124021397,-,124021397,124031397,5.435870086675882,5.343441597004731,0.9829965602199164,Mixed,NSC,chr8
Galnt2,chr8,124231391,124345724,+,124221391,124231391,5.404929222631454,4.477220499797663,0.8283587657449241,Mixed,NSC,chr8
Pgbd5,chr8,124369049,124439658,-,124439658,124449658,8.287238849174976,6.007651882553101,0.7249280480375179,Mixed,NSC,chr8
Cog2,chr8,124520767,124552008,+,124510767,124520767,6.288826912373304,5.553573194551468,0.8830857124760073,Mixed,NSC,chr8
2310022B05Rik,chr8,124635756,124663369,-,124663369,124673369,7.133606679034234,5.61755681792895,0.7874777893823366,Mixed,NSC,chr8
Ttc13,chr8,124671332,124721983,-,124721983,124731983,6.262580716609955,5.7206524584035074,0.9134656649184392,Mixed,NSC,chr8
Fam89a,chr8,124740257,124751832,-,124751832,124761832,7.036056051683426,5.559247758964698,0.7901085093878139,Mixed,NSC,chr8
Trim67,chr8,124793092,124834713,+,124783092,124793092,8.09881331884861,6.447418094487986,0.7960941733874416,Mixed,NSC,chr8
Gnpat,chr8,124863033,124890057,+,124853033,124863033,7.505655924665927,6.180323967572054,0.8234222337932626,Mixed,NSC,chr8
Exoc8,chr8,124893108,124897705,-,124897705,124907705,7.595528678178788,6.057757631023725,0.7975425921867785,Mixed,NSC,chr8
Egln1,chr8,124908587,124949324,-,124949324,124959324,7.210868989932537,5.991263866547744,0.8308657215811927,Mixed,NSC,chr8
Tsnax,chr8,125012997,125034192,+,125002997,125012997,6.874069966125488,5.7336674319744105,0.8341008253086118,Mixed,NSC,chr8
Disc1,chr8,125054195,125261858,+,125044195,125054195,6.817878832578659,6.465019100705781,0.9482449394397028,Mixed,NSC,chr8
Sipa1l2,chr8,125418063,125569808,-,125569808,125579808,8.52068479681015,6.9482310097376505,0.8154545292344142,Mixed,NSC,chr8
Map10,chr8,125669818,125673359,+,125659818,125669818,7.746855903601646,6.097343377558391,0.7870732918529738,Mixed,NSC,chr8
Ntpcr,chr8,125729963,125748235,+,125719963,125729963,5.88666556173563,5.7193294317285215,0.9715736985136674,Mixed,NSC,chr8
Map3k21,chr8,125910450,125947440,+,125900450,125910450,7.1079825004935255,5.253171072383722,0.7390523361613484,Mixed,NSC,chr8
Kcnk1,chr8,125995170,126030685,+,125985170,125995170,5.594423686802387,5.628264416833719,1.006049010930503,Mixed,NSC,chr8
Slc35f3,chr8,126138995,126395978,+,126128995,126138995,7.559707693934441,5.931655220647652,0.7846408169203337,Mixed,NSC,chr8
Coa6,chr8,126422515,126425433,+,126412515,126422515,2.0732334902882577,2.533007536192736,1.221766650046036,Mixed,NSC,chr8
Tarbp1,chr8,126425329,126475065,-,126475065,126485065,7.106910419434309,5.198905985126893,0.7315282842049263,Mixed,NSC,chr8
Irf2bp2,chr8,126588296,126593986,-,126593986,126603986,7.067361243867874,6.49128172554175,0.9184873252621734,Mixed,NSC,chr8
Tomm20,chr8,126930667,126945844,-,126945844,126955844,6.077163929307461,6.308381179877123,1.03804690037315,Mixed,NSC,chr8
Rbm34,chr8,126947172,126971071,-,126971071,126981071,6.28139945062399,5.981902108836175,0.952319965615614,Mixed,NSC,chr8
